id,t_type
1093,C
331,E
2304,B
2741,B
2323,B
1313,E
1035,E
2793,C
2861,B
821,D
2128,C
683,D
2521,A
2341,A
861,D
900,C
2063,A
441,D
27,C
43,D
496,C
1936,E
2872,A
1942,E
717,C
295,B
2430,A
1177,A
45,C
1715,D
111,E
1400,C
1818,D
2431,A
537,B
781,E
2805,E
1113,B
1822,A
1408,B
2149,D
572,C
2301,B
796,E
71,E
2289,B
1768,E
1569,A
2945,E
17,E
2086,C
1026,A
686,E
1341,B
1965,B
1512,A
1860,C
2377,D
2607,D
1143,B
784,C
1285,E
2563,E
762,A
435,C
1022,B
2281,A
471,E
396,D
57,C
1795,D
2335,B
1382,D
2780,E
2025,C
1844,C
736,A
1312,B
1238,A
62,D
467,D
1815,A
422,A
2749,A
957,C
2706,E
2453,D
804,D
2402,A
1468,E
725,D
1734,B
1869,E
2592,D
2687,C
1401,C
2346,D
2892,B
1771,B
2146,E
2007,B
2080,C
1837,B
962,D
1363,C
94,D
21,E
1055,E
117,A
2656,A
2546,C
2611,D
2134,A
346,C
1300,B
2414,E
1057,C
2713,A
324,B
2506,E
2217,E
1350,A
1679,B
2595,E
2213,C
2473,B
2755,D
2700,A
1709,B
108,B
587,C
1320,C
2115,A
2944,C
968,E
367,C
888,C
1376,A
2244,E
800,D
1266,B
2048,B
1762,D
1574,D
359,E
1872,E
2075,C
1572,C
727,D
1140,D
478,C
7,A
105,A
54,A
1944,B
649,B
2641,E
810,B
1623,B
2348,B
329,C
1796,C
433,D
371,E
1785,B
758,A
429,A
2389,E
1933,D
2184,B
1737,B
2859,E
1223,E
644,A
678,A
2397,A
839,C
2026,B
2817,C
670,C
336,C
1735,D
58,E
1386,E
1935,A
431,A
2190,E
1658,B
805,A
1710,A
183,C
2057,C
2557,A
1530,C
2528,B
605,A
2537,B
2265,E
1032,B
1829,A
1931,C
2262,E
2995,D
1716,B
347,C
1770,D
2178,E
1788,A
581,D
1189,B
2866,B
2582,D
2718,A
943,B
2173,D
599,B
569,E
505,E
1506,D
276,E
1665,C
2774,C
248,A
720,D
284,C
1563,D
2733,B
2828,C
1310,E
1867,A
699,B
486,C
650,B
2950,B
1443,A
19,E
169,C
2964,B
942,A
2949,C
2994,A
1339,C
1198,E
1237,E
2819,D
1505,E
1116,E
22,A
1946,A
543,B
85,C
756,D
1862,C
2567,A
2169,C
937,C
2600,E
739,E
1813,B
464,E
1324,D
1881,B
1524,A
958,E
1508,E
1002,E
1727,D
2014,B
878,D
328,B
480,B
2810,C
2583,C
1507,D
1749,C
278,E
637,B
1007,C
862,A
600,E
2270,D
1567,A
1053,A
910,B
2228,B
917,B
1065,C
938,A
2822,C
351,B
820,A
1982,B
337,A
1290,A
1277,E
1520,D
2554,D
427,A
1997,E
2000,A
172,E
1164,C
1206,A
952,B
2448,C
2502,A
2083,B
2034,E
1294,C
2131,E
67,D
2168,B
194,E
1495,C
1323,A
638,D
2495,A
1474,C
244,C
1094,A
1804,A
1792,B
2705,A
1656,B
321,A
2981,C
2609,B
2766,E
919,B
407,E
2047,B
2172,A
2210,C
2339,D
775,B
401,A
2869,A
1909,D
929,B
602,C
1104,B
2253,B
138,A
411,C
2234,D
1902,C
2535,B
833,D
1626,A
1691,A
828,A
1124,A
230,B
250,E
1374,A
1232,A
228,B
2278,E
533,D
2974,E
586,B
1812,D
2205,D
1112,C
2655,C
51,A
1406,A
2758,D
240,A
1442,A
2991,E
326,D
1152,C
1470,B
274,A
307,C
267,E
254,B
2821,B
399,C
1643,B
630,C
2040,E
11,A
557,A
2877,D
2011,B
2771,D
2381,E
2243,D
134,D
2043,E
2686,D
199,C
1680,B
1723,C
1398,E
1005,A
718,C
1486,E
412,C
2659,E
10,C
492,E
2097,E
2914,E
768,B
226,D
2585,C
2224,B
1399,D
2729,D
547,B
1298,D
2249,D
2150,B
925,E
2679,A
1605,E
1673,A
239,E
521,B
2421,E
2236,A
1622,A
448,A
507,A
1899,A
231,C
2839,A
2354,B
1801,D
2413,A
1131,B
695,A
1497,B
2681,D
2761,A
1286,C
2076,C
2491,B
895,C
536,B
2750,A
39,B
2873,D
1842,C
83,A
501,A
1502,B
2110,A
1034,E
1040,A
1663,E
2388,B
1457,D
2223,A
1334,C
2685,C
2734,E
132,E
1126,B
2319,D
647,C
418,B
1276,B
2650,C
2196,C
2008,B
1681,D
778,A
1790,C
2428,B
1021,D
100,E
2849,E
1385,B
1852,E
1921,A
2071,C
207,B
1019,D
688,D
1682,B
1797,B
2185,D
633,E
635,E
2274,A
391,D
849,D
1544,D
1418,E
66,C
1613,D
44,D
23,E
511,D
2647,B
260,B
772,A
1129,B
288,C
1945,D
2633,D
451,C
2208,D
2177,D
2672,E
1361,A
2305,D
2072,C
0,D
262,D
1886,A
16,C
959,E
1405,D
610,A
1106,D
2737,B
236,E
2858,B
2984,D
1210,D
981,D
1025,D
1624,D
2522,A
484,C
2748,B
1249,E
1084,A
348,A
975,D
383,A
323,C
1373,D
1489,C
53,B
826,B
1675,D
129,E
809,E
1328,B
2900,B
2531,D
2248,A
1766,D
1258,C
1042,E
1607,C
2767,D
2983,D
705,B
1445,A
1913,A
1362,E
2372,E
1959,C
2915,E
1413,C
1263,A
1745,A
562,A
2850,E
2283,D
690,A
553,D
1664,A
364,A
857,B
2715,D
2085,A
2036,A
2288,B
909,E
18,B
2481,E
1462,C
2959,B
1882,A
728,A
2770,E
2827,B
12,D
2773,A
1552,C
2725,E
2500,D
829,E
1576,A
1896,E
1759,B
2924,E
2512,B
279,E
2620,A
127,B
2101,C
1655,B
2547,B
2516,B
2668,E
2029,A
192,B
229,A
819,B
1736,D
2116,A
2722,B
79,C
773,A
2594,E
2179,B
578,A
1600,C
1778,C
1650,D
498,E
879,B
2327,C
2606,D
2487,C
1612,B
1133,B
1330,E
1826,C
1590,D
157,A
2016,B
2878,A
750,B
1217,A
37,E
311,C
563,D
1278,E
1130,D
2515,B
2746,A
458,A
555,C
1260,B
2328,E
1649,C
1146,E
1748,C
93,C
947,D
2287,A
2094,D
504,D
205,C
1499,B
1802,A
771,D
1338,E
2532,C
2316,E
1138,E
676,D
2181,E
1981,A
2653,D
2634,A
2259,B
927,B
175,C
1856,E
2232,E
531,E
1808,E
542,C
96,A
2102,D
1491,D
2857,E
954,E
200,B
1118,C
2617,D
741,A
2545,B
56,C
2997,E
414,D
2593,A
2050,C
487,B
1178,A
883,A
1193,E
889,D
687,E
2536,C
1287,E
963,E
2194,E
2468,B
704,C
1271,E
2426,C
2552,A
759,D
