id,cvr,beloeb
202,23,5349
203,125,1319
204,162,1935
205,175,9135
206,57,8126
207,161,9890
208,11,4055
209,168,6773
210,67,3810
211,0,1166
212,147,5061
213,198,4234
214,119,8399
215,160,9345
216,151,5999
217,79,2658
218,82,3113
219,162,3139
220,75,3512
221,174,5208
222,12,893
223,57,693
224,134,6583
225,107,1269
226,48,2730
227,112,7142
228,32,5263
229,149,6689
230,103,1493
231,99,5041
232,143,9228
233,120,5031
234,187,1535
235,125,6832
236,52,8684
237,142,9821
238,57,8494
239,81,5832
240,118,9107
241,4,6260
242,12,2698
243,117,9149
244,141,3506
245,20,7112
246,162,5618
247,52,5464
248,82,5954
249,165,8116
250,133,907
251,51,1223
252,141,5083
253,154,6747
254,27,8978
255,68,9667
256,58,5299
257,29,5835
258,114,6608
259,110,9279
260,168,2928
261,53,7459
262,110,8983
263,61,2971
264,33,9675
265,58,5939
266,7,553
267,140,9483
268,106,3797
269,5,8440
270,53,4240
271,17,6451
272,129,5142
273,35,5011
274,45,6048
275,22,9743
276,19,4622
277,195,7863
278,137,4516
279,7,5914
280,142,6271
281,125,1540
282,125,2891
283,73,8882
284,113,5557
285,172,8535
286,127,8745
287,191,2497
288,53,4033
289,39,3801
290,199,5606
291,32,9806
292,172,9985
293,43,3245
294,54,6264
295,98,5020
296,104,1869
297,105,6550
298,116,7742
299,39,6451
300,14,2575
301,121,2639
302,11,3163
303,22,669
304,152,725
305,198,4851
306,81,9751
307,186,8107
308,84,5788
309,183,9716
310,59,6455
311,189,1274
312,178,3833
313,36,6321
314,46,6745
315,12,2565
316,119,1425
317,134,9307
318,46,3410
319,16,9727
320,25,6343
321,43,3599
322,59,5443
323,27,9871
324,61,3275
325,53,5430
326,57,1411
327,45,7222
328,20,3297
329,6,5440
330,190,5801
331,18,2672
332,99,3762
333,83,9575
334,16,6857
335,35,8310
336,112,7637
337,60,6884
338,186,8725
339,191,8742
340,156,6678
341,135,9930
342,187,3333
343,157,6912
344,47,4628
345,122,4492
346,31,4794
347,128,7422
348,145,7590
349,99,3449
350,42,7460
351,49,7508
352,94,6541
353,145,7096
354,109,2066
355,13,1782
356,126,9465
357,163,6518
358,38,9331
359,62,1625
360,161,6672
361,96,5844
362,22,8062
363,116,9765
364,91,6910
365,136,4533
366,108,8508
367,164,5065
368,90,619
369,102,6323
370,10,6068
371,22,9559
372,56,6305
373,1,4281
374,50,1780
375,191,8638
376,106,4037
377,4,7208
378,83,7110
379,184,2686
380,57,8272
381,157,642
382,45,7596
383,137,3119
384,50,2674
385,52,2365
386,132,8096
387,74,6622
388,105,1772
389,167,9497
390,27,2320
391,39,1109
392,166,2620
393,183,4361
394,80,6212
395,133,3367
396,164,1659
397,153,7338
398,176,6646
399,73,4558
400,130,6339
401,16,7783
402,101,8140
403,86,7434
404,83,2065
405,101,2030
406,22,9869
407,129,921
408,178,3477
409,115,3517
410,133,4093
411,149,8226
412,81,4747
413,110,9500
414,171,3115
415,193,7523
416,26,7430
417,136,4997
418,165,4200
419,145,4765
420,95,633
421,61,5272
422,126,3886
423,56,8893
424,22,7774
425,171,3568
426,126,3666
427,1,5372
428,189,765
429,64,7824
430,73,5836
431,149,886
432,180,2246
433,19,2507
434,64,5683
435,179,7401
436,171,1620
437,105,3859
438,42,2825
439,171,5155
440,167,3255
441,26,2632
442,148,1386
443,61,8204
444,75,3957
445,86,7555
446,154,3811
447,178,5698
448,16,1323
449,55,8900
450,34,8501
451,80,3133
452,119,1883
453,198,6480
454,24,7572
455,13,3498
456,30,8144
457,155,4242
458,111,7333
459,17,4293
460,124,7092
461,73,1699
462,197,9043
463,45,2476
464,38,7544
465,157,1432
466,197,748
467,170,7931
468,182,1095
469,55,4610
470,65,2107
471,192,2412
472,19,9378
473,125,8670
474,65,5274
475,86,3063
476,109,8742
477,186,4095
478,194,6386
479,77,7842
480,95,1477
481,161,5457
482,7,5921
483,173,8244
484,136,6614
485,176,2826
486,89,1093
487,148,2964
488,76,2580
489,145,7032
490,149,6118
491,66,6980
492,20,2690
493,112,3634
494,153,7174
495,5,8743
496,124,1618
497,182,9475
498,162,8837
499,121,2551
500,183,5554
501,82,4928
502,142,8847
503,28,6052
504,21,6603
505,38,2214
506,198,4031
507,18,728
508,136,3112
509,80,9527
510,167,7225
511,31,964
512,72,1781
513,28,2794
514,52,6790
515,124,1583
516,69,2005
517,123,571
518,144,1166
519,110,4217
520,57,6013
521,87,5888
522,72,7754
523,68,8007
524,31,4943
525,31,5991
526,152,1421
527,31,8406
528,22,5871
529,185,4051
530,2,2220
531,169,9798
532,198,4681
533,112,8335
534,85,7992
535,35,6982
536,90,5321
537,159,2262
538,118,9881
539,1,1328
540,43,9795
541,14,7807
542,3,7249
543,97,5073
544,36,1373
545,30,7341
546,187,6415
547,24,2393
548,11,7625
549,151,4477
550,196,3464
551,0,8891
552,157,2163
553,157,3123
554,103,5681
555,42,7184
556,144,4076
557,102,6760
558,193,1068
559,50,8185
560,138,3315
561,83,5071
562,141,999
563,75,657
564,132,5855
565,106,4086
566,181,3361
567,13,6556
568,179,6502
569,105,5439
570,17,5001
571,142,7010
572,68,4853
573,29,5442
574,146,4263
575,73,5474
576,14,2176
577,31,4383
578,99,7210
579,180,4107
580,186,9542
581,120,7859
582,67,763
583,167,9551
584,12,2532
585,74,1061
586,60,4446
587,80,3026
588,85,9795
589,181,6660
590,169,4822
591,100,8488
592,109,4980
593,13,1747
594,72,8674
595,127,8148
596,112,6613
597,143,8107
598,188,3566
599,36,4999
600,21,4293
601,163,4410
602,121,7871
603,138,5313
604,174,3455
605,154,7809
606,163,7424
607,116,6601
608,114,7211
609,191,1603
610,1,2942
611,159,2326
612,28,2955
613,8,6362
614,78,1633
615,155,3245
616,172,8318
617,150,8193
618,175,8812
619,41,5530
620,124,1162
621,103,9940
622,13,5436
623,147,1346
624,7,5150
625,55,7688
626,105,1668
627,197,2480
628,181,7466
629,195,2119
630,181,6328
631,2,1392
632,59,9661
633,132,3672
634,57,8474
635,21,8369
636,129,8551
637,30,8790
638,14,2442
639,102,9407
640,73,7719
641,52,4054
642,28,9832
643,116,8571
644,40,7327
645,33,3658
646,88,4710
647,195,875
648,173,9175
649,39,1405
650,142,6275
651,120,6470
652,87,8685
653,106,8882
654,61,3625
655,144,7509
656,52,8482
657,82,9223
658,27,4167
659,12,8670
660,67,4432
661,127,9336
662,67,1147
663,93,9119
664,157,8873
665,64,2702
666,140,4444
667,195,3407
668,81,8938
669,37,7385
670,85,1967
671,167,6569
672,72,2239
673,70,1959
674,174,3683
675,50,6114
676,103,1733
677,137,1681
678,139,4332
679,100,4492
680,44,5371
681,118,3249
682,17,4692
683,147,7479
684,141,6863
685,11,5021
686,183,7045
687,62,6414
688,183,3590
689,7,8638
690,197,2045
691,96,7337
692,85,1582
693,143,5460
694,34,7118
695,85,5255
696,30,4642
697,75,3584
698,24,2665
699,143,8058
700,14,8995
701,100,9384
702,102,6138
703,164,7421
704,155,773
705,75,3657
706,29,2463
707,3,8790
708,7,1967
709,162,3172
710,19,1738
711,162,5942
712,142,1325
713,138,1445
714,102,3498
715,41,3442
716,61,6135
717,133,4100
718,114,3741
719,188,3521
720,33,2389
721,109,8619
722,190,1244
723,194,7261
724,111,1915
725,44,9512
726,49,8760
727,7,4124
728,140,4194
729,56,1775
730,117,3923
731,163,2403
732,135,4411
733,2,8251
734,160,5044
735,66,1657
736,67,8561
737,176,2750
738,177,2325
739,105,7682
740,105,6456
741,183,5018
742,198,1280
743,127,4862
744,98,6952
745,178,8716
746,83,6157
747,83,8588
748,7,7501
749,131,2754
750,35,6814
751,19,6503
752,123,4095
753,191,9019
754,19,1422
755,197,6850
756,72,1460
757,59,7407
758,29,2517
759,90,7529
760,93,3915
761,176,966
762,105,529
763,180,5071
764,161,2859
765,27,1693
766,29,4649
767,193,1722
768,154,4450
769,191,2407
770,91,5305
771,154,1671
772,22,6425
773,93,7903
774,144,2630
775,115,4410
776,60,6389
777,136,5577
778,8,1150
779,130,1436
780,156,5672
781,105,9754
782,43,2010
783,85,3745
784,103,8323
785,137,9644
786,35,4793
787,117,7738
788,186,2931
789,48,6547
790,119,5304
791,36,8761
792,112,5711
793,50,4464
794,116,5629
795,162,9759
796,187,7806
797,75,8342
798,197,2392
799,9,9195
800,86,7955
801,7,3048
802,104,7826
803,81,1060
804,127,4492
805,100,4618
806,109,5199
807,130,8463
808,178,8337
809,197,3282
810,47,989
811,4,2192
812,34,1206
813,24,4157
814,36,9816
815,64,8816
816,60,6664
817,56,2604
818,197,2101
819,77,7584
820,34,6382
821,197,9801
822,109,4882
823,121,4267
824,51,4428
825,51,8311
826,43,4041
827,88,5941
828,104,8479
829,165,5159
830,176,7205
831,169,5966
832,181,8410
833,165,2154
834,76,6704
835,84,8960
836,71,7603
837,99,5298
838,4,4193
839,65,937
840,58,1477
841,150,1576
842,61,7102
843,195,9121
844,182,918
845,171,3898
846,179,8900
847,128,8425
848,70,6751
849,114,3747
850,198,3998
851,145,4775
852,183,5811
853,120,1928
854,131,1351
855,190,6875
856,114,6055
857,26,3165
858,22,6465
859,83,7821
860,1,5443
861,163,8092
862,60,3587
863,175,1554
864,109,6239
865,198,9953
866,115,9092
867,179,8517
868,83,543
869,96,9334
870,30,2203
871,48,4370
872,36,4384
873,161,9243
874,84,5603
875,141,5756
876,40,4899
877,114,3523
878,159,5008
879,31,593
880,99,9771
881,20,4982
882,3,6892
883,83,4809
884,77,5831
885,190,5632
886,79,5253
887,106,2728
888,58,9765
889,175,2755
890,43,6397
891,154,2425
892,117,8636
893,101,2194
894,48,4969
895,9,7153
896,57,1350
897,182,3043
898,97,2467
899,57,3766
900,181,9186
901,135,8095
902,123,3584
903,130,2807
904,113,674
905,172,5954
906,10,1158
907,93,4263
908,181,4048
909,99,4149
910,114,2106
911,97,5117
912,45,2723
913,52,1268
914,142,4815
915,188,6524
916,149,1580
917,2,3623
918,24,8824
919,30,7414
920,4,5116
921,123,9548
922,25,5636
923,33,9164
924,73,7236
925,97,8036
926,48,2383
927,146,9495
928,188,7925
929,94,891
930,20,1220
931,113,2732
932,133,4418
933,168,2185
934,184,7145
935,53,8154
936,86,7674
937,167,7877
938,140,6915
939,152,9627
940,3,8218
941,171,2980
942,69,5097
943,113,7701
944,153,1713
945,198,6992
946,173,7187
947,158,6358
948,89,2048
949,39,6321
950,32,5667
951,123,3495
952,72,6468
953,72,4919
954,147,6917
955,121,1279
956,111,7278
957,141,9637
958,109,3289
959,193,4864
960,178,4246
961,117,5081
962,169,8899
963,26,2592
964,162,2456
965,46,8508
966,26,3934
967,96,4668
968,198,6429
969,113,5136
970,141,6891
971,136,4284
972,56,8913
973,37,1427
974,81,7996
975,129,9549
976,43,8997
977,54,5276
978,195,2189
979,30,8643
980,132,7261
981,29,794
982,55,9670
983,104,2331
984,70,2313
985,72,5487
986,146,7161
987,55,2246
988,197,3110
989,29,6574
990,63,7055
991,86,1057
992,98,5190
993,86,4416
994,52,632
995,197,6601
996,59,4832
997,134,4088
998,115,2301
999,80,2690
